Focos,Temperatura,Precipitação,Focos_m1,Temperatura_m1,Precipitação_m1,Focos_m2,Temperatura_m2,Precipitação_m2,Focos_m3,Temperatura_m3,Precipitação_m3,Focos_m4,Temperatura_m4,Precipitação_m4,Categoria
0.0,22.943357142857145,0.25,4.0,22.959485714285712,21.75,1.0,23.72467142857143,2.5,0.0,21.843714285714288,9.25,1.0,22.31648571428571,76.0,1
2.0,22.999357142857143,5.0,0.0,22.943357142857145,0.25,4.0,22.959485714285712,21.75,1.0,23.72467142857143,2.5,0.0,21.843714285714288,9.25,2
0.0,23.7191,33125,2.0,22.999357142857143,5.0,0.0,22.943357142857145,0.25,4.0,22.959485714285712,21.75,1.0,23.72467142857143,2.5,1
3.0,24.6366,3625,0.0,23.7191,33125,2.0,22.999357142857143,5.0,0.0,22.943357142857145,0.25,4.0,22.959485714285712,21.75,3
0.0,26.27752857142857,37.4375,3.0,24.6366,3625,0.0,23.7191,33125,2.0,22.999357142857143,5.0,0.0,22.943357142857145,0.25,1
0.0,24.075242857142857,31.5625,0.0,26.27752857142857,37.4375,3.0,24.6366,3625,0.0,23.7191,33125,2.0,22.999357142857143,5.0,1
0.0,23.67452857142857,59625,0.0,24.075242857142857,31.5625,0.0,26.27752857142857,37.4375,3.0,24.6366,3625,0.0,23.7191,33125,1
2.0,25.9907,35.5,0.0,23.67452857142857,59625,0.0,24.075242857142857,31.5625,0.0,26.27752857142857,37.4375,3.0,24.6366,3625,2
3.0,27.140271428571427,48.5,2.0,25.9907,35.5,0.0,23.67452857142857,59625,0.0,24.075242857142857,31.5625,0.0,26.27752857142857,37.4375,3
4.0,28.26647142857143,20625,3.0,27.140271428571427,48.5,2.0,25.9907,35.5,0.0,23.67452857142857,59625,0.0,24.075242857142857,31.5625,3
9.0,25.230914285714285,76.5625,4.0,28.26647142857143,20625,3.0,27.140271428571427,48.5,2.0,25.9907,35.5,0.0,23.67452857142857,59625,5
3.0,26.162928571428573,30.25,9.0,25.230914285714285,76.5625,4.0,28.26647142857143,20625,3.0,27.140271428571427,48.5,2.0,25.9907,35.5,3
2.0,24.99742857142857,38.75,3.0,26.162928571428573,30.25,9.0,25.230914285714285,76.5625,4.0,28.26647142857143,20625,3.0,27.140271428571427,48.5,2
8.0,26.704285714285717,143125,2.0,24.99742857142857,38.75,3.0,26.162928571428573,30.25,9.0,25.230914285714285,76.5625,4.0,28.26647142857143,20625,5
7.0,25.372857142857143,43.0,8.0,26.704285714285717,143125,2.0,24.99742857142857,38.75,3.0,26.162928571428573,30.25,9.0,25.230914285714285,76.5625,4
5.0,25.746771428571428,27.6875,7.0,25.372857142857143,43.0,8.0,26.704285714285717,143125,2.0,24.99742857142857,38.75,3.0,26.162928571428573,30.25,4
5.0,26.08391428571429,17.75,5.0,25.746771428571428,27.6875,7.0,25.372857142857143,43.0,8.0,26.704285714285717,143125,2.0,24.99742857142857,38.75,4
10.0,25.330071428571426,35.25,5.0,26.08391428571429,17.75,5.0,25.746771428571428,27.6875,7.0,25.372857142857143,43.0,8.0,26.704285714285717,143125,5
13.0,25.19087142857143,9.75,10.0,25.330071428571426,35.25,5.0,26.08391428571429,17.75,5.0,25.746771428571428,27.6875,7.0,25.372857142857143,43.0,6
8.0,23.002557142857142,15.6875,13.0,25.19087142857143,9.75,10.0,25.330071428571426,35.25,5.0,26.08391428571429,17.75,5.0,25.746771428571428,27.6875,5
9.0,23.292585714285718,80625,8.0,23.002557142857142,15.6875,13.0,25.19087142857143,9.75,10.0,25.330071428571426,35.25,5.0,26.08391428571429,17.75,5
2.0,22335,51.0625,9.0,23.292585714285718,80625,8.0,23.002557142857142,15.6875,13.0,25.19087142857143,9.75,10.0,25.330071428571426,35.25,2
11.0,23.549385714285712,29.25,2.0,22335,51.0625,9.0,23.292585714285718,80625,8.0,23.002557142857142,15.6875,13.0,25.19087142857143,9.75,5
0.0,22.257585714285717,45375,11.0,23.549385714285712,29.25,2.0,22335,51.0625,9.0,23.292585714285718,80625,8.0,23.002557142857142,15.6875,1
0.0,20.99242857142857,6375,0.0,22.257585714285717,45375,11.0,23.549385714285712,29.25,2.0,22335,51.0625,9.0,23.292585714285718,80625,1
5.0,20.051614285714287,9875,0.0,20.99242857142857,6375,0.0,22.257585714285717,45375,11.0,23.549385714285712,29.25,2.0,22335,51.0625,4
1.0,19.581157142857144,44.6875,5.0,20.051614285714287,9875,0.0,20.99242857142857,6375,0.0,22.257585714285717,45375,11.0,23.549385714285712,29.25,1
3.0,21.46112857142857,49.9375,1.0,19.581157142857144,44.6875,5.0,20.051614285714287,9875,0.0,20.99242857142857,6375,0.0,22.257585714285717,45375,3
