,Semana,Município,Focos,ponto
207,2012-06-10,ITAPIRANGA,1,POINT (-53.711674144548695 -27.112222405376688)
208,2012-06-10,JARAGUÁ DO SUL,2,POINT (-49.159974339900636 -26.481907693524388)
209,2012-06-10,JOINVILLE,1,POINT (-48.95140521079262 -26.244282225607027)
210,2012-06-10,NAVEGANTES,1,POINT (-48.72739585880501 -26.82874286660231)
211,2012-06-17,XANXERÊ,1,POINT (-52.409753977893864 -26.87227935615384)
212,2012-06-17,SÃO MIGUEL DO OESTE,1,POINT (-53.51212123092325 -26.727236944731406)
213,2012-06-17,BLUMENAU,1,POINT (-49.09730924738388 -26.885766673711007)
214,2012-06-17,BOMBINHAS,2,POINT (-48.51748707787348 -27.17325633187103)
215,2012-06-17,CHAPECÓ,1,POINT (-52.6503387011512 -27.125143757264095)
216,2012-06-24,BIGUAÇU,1,POINT (-48.69394689806006 -27.433529852830816)
217,2012-06-24,BLUMENAU,1,POINT (-49.09730924738388 -26.885766673711007)
218,2012-06-24,CHAPECÓ,3,POINT (-52.6503387011512 -27.125143757264095)
219,2012-07-01,JOINVILLE,2,POINT (-48.95140521079262 -26.244282225607027)
220,2012-07-01,SÃO MIGUEL DO OESTE,1,POINT (-53.51212123092325 -26.727236944731406)
221,2012-07-01,GAROPABA,1,POINT (-48.65893578099145 -28.046733934256846)
222,2012-07-01,PINHALZINHO,1,POINT (-52.97663206995043 -26.829373480377633)
223,2012-07-01,CHAPECÓ,23,POINT (-52.6503387011512 -27.125143757264095)
224,2012-07-01,FLORIANÓPOLIS,2,POINT (-48.50819805014117 -27.577833913876493)
225,2012-07-01,BLUMENAU,2,POINT (-49.09730924738388 -26.885766673711007)
226,2012-07-08,ARARANGUÁ,1,POINT (-49.47117420910179 -28.9422934098757)
227,2012-07-08,BLUMENAU,1,POINT (-49.09730924738388 -26.885766673711007)
228,2012-07-08,BOMBINHAS,1,POINT (-48.51748707787348 -27.17325633187103)
229,2012-07-08,CHAPECÓ,3,POINT (-52.6503387011512 -27.125143757264095)
230,2012-07-08,COCAL DO SUL,1,POINT (-49.3339303801786 -28.59869687778446)
231,2012-07-08,FLORIANÓPOLIS,1,POINT (-48.50819805014117 -27.577833913876493)
232,2012-07-08,JOINVILLE,1,POINT (-48.95140521079262 -26.244282225607027)
233,2012-07-08,SÃO JOÃO DO OESTE,1,POINT (-53.59166414663414 -27.091607129863164)
234,2012-07-15,SÃO LOURENÇO DO OESTE,1,POINT (-52.859772864625924 -26.465488220200026)
235,2012-07-22,JARAGUÁ DO SUL,1,POINT (-49.159974339900636 -26.481907693524388)
236,2012-07-29,ARAQUARI,1,POINT (-48.75777734611065 -26.461708089601323)
237,2012-07-29,CHAPECÓ,10,POINT (-52.6503387011512 -27.125143757264095)
238,2012-07-29,CRICIÚMA,1,POINT (-49.379715593390806 -28.715695317599724)
239,2012-07-29,JOINVILLE,3,POINT (-48.95140521079262 -26.244282225607027)
240,2012-07-29,LAURENTINO,1,POINT (-49.73361403099963 -27.20798229696701)
241,2012-07-29,SÃO JOSÉ,1,POINT (-48.65625577254402 -27.57847109713233)
242,2012-07-29,SÃO JOSÉ DO CEDRO,1,POINT (-53.53373642407425 -26.48085134039229)
