Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,,
Período: de 02/07/2022 a 31/12/2022,,,,,,
Atualizado em 27/06/2023,,,,,,
Regional,Município,Imóvel,Depósito,Tipo de Atividade,Data da Coleta,Nº Foco
Itajaí,BALNEÁRIO PIÇARRAS,Residência,ARM - Armadilha,Armadilha,26/12/2022,ARM 290926/22
Itajaí,BALNEÁRIO PIÇARRAS,Comércio,ARM - Armadilha,Armadilha,26/12/2022,ARM 290925/22
Itajaí,BALNEÁRIO PIÇARRAS,Comércio,ARM - Armadilha,Armadilha,26/12/2022,ARM 290923/22
Itajaí,BALNEÁRIO PIÇARRAS,Residência,ARM - Armadilha,Armadilha,26/12/2022,ARM 290922/22
Itajaí,BALNEÁRIO PIÇARRAS,Comércio,ARM - Armadilha,Armadilha,26/12/2022,ARM 290921/22
Itajaí,BALNEÁRIO PIÇARRAS,Comércio,ARM - Armadilha,Armadilha,26/12/2022,ARM 290916/22
Itajaí,BALNEÁRIO PIÇARRAS,Comércio,ARM - Armadilha,Armadilha,26/12/2022,ARM 290913/22
Itajaí,BALNEÁRIO PIÇARRAS,Comércio,ARM - Armadilha,Armadilha,26/12/2022,ARM 290892/22
Itajaí,BALNEÁRIO PIÇARRAS,Comércio,ARM - Armadilha,Armadilha,26/12/2022,ARM 290875/22
Itajaí,BALNEÁRIO PIÇARRAS,Residência,ARM - Armadilha,Armadilha,26/12/2022,ARM 290874/22
Itajaí,BALNEÁRIO PIÇARRAS,Outros,ARM - Armadilha,Armadilha,26/12/2022,ARM 290873/22
Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,23/12/2022,ARM 290872/22
Joinville,JOINVILLE,Outros,ARM - Armadilha,Armadilha,23/12/2022,ARM 290871/22
Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,23/12/2022,ARM 290870/22
Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,23/12/2022,ARM 290869/22
Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,23/12/2022,ARM 290868/22
Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,23/12/2022,ARM 290867/22
Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,23/12/2022,ARM 290866/22
Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,23/12/2022,ARM 290865/22
Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,23/12/2022,ARM 290864/22
Joinville,JOINVILLE,Outros,ARM - Armadilha,Armadilha,23/12/2022,ARM 290863/22
Itajaí,BALNEÁRIO PIÇARRAS,Comércio,ARM - Armadilha,Armadilha,26/12/2022,ARM 290860/22
Itajaí,BALNEÁRIO PIÇARRAS,Comércio,ARM - Armadilha,Armadilha,26/12/2022,ARM 290851/22
Itajaí,BALNEÁRIO PIÇARRAS,Comércio,ARM - Armadilha,Armadilha,26/12/2022,ARM 290850/22
Itajaí,BALNEÁRIO PIÇARRAS,Comércio,ARM - Armadilha,Armadilha,26/12/2022,ARM 290848/22
Itajaí,ITAJAÍ,Comércio,ARM - Armadilha,Armadilha,26/12/2022,ARM 290831/22
Itajaí,ITAJAÍ,Residência,ARM - Armadilha,Armadilha,26/12/2022,ARM 290829/22
Itajaí,ITAJAÍ,Residência,ARM - Armadilha,Armadilha,28/12/2022,ARM 290828/22
Itajaí,ITAJAÍ,Residência,ARM - Armadilha,Armadilha,27/12/2022,ARM 290824/22
Itajaí,ITAJAÍ,Comércio,ARM - Armadilha,Armadilha,28/12/2022,ARM 290821/22
Itajaí,ITAJAÍ,Comércio,ARM - Armadilha,Armadilha,21/12/2022,ARM 290819/22
Itajaí,ITAJAÍ,Comércio,ARM - Armadilha,Armadilha,21/12/2022,ARM 290817/22
Itajaí,ITAJAÍ,Residência,ARM - Armadilha,Armadilha,21/12/2022,ARM 290815/22
Itajaí,ITAJAÍ,Comércio,ARM - Armadilha,Armadilha,21/12/2022,ARM 290812/22
Itajaí,ITAJAÍ,Residência,ARM - Armadilha,Armadilha,21/12/2022,ARM 290811/22
Tubarão,IMBITUBA,Comércio,ARM - Armadilha,Armadilha,29/12/2022,ARM 290810/22
Blumenau,GASPAR,Comércio,ARM - Armadilha,Armadilha,30/12/2022,ARM 290809/22
Chapecó,CUNHA PORÃ,Comércio,ARM - Armadilha,Armadilha,28/12/2022,ARM 290802/22
Chapecó,CUNHA PORÃ,Comércio,ARM - Armadilha,Armadilha,28/12/2022,ARM 290801/22
Chapecó,CUNHA PORÃ,Outros,ARM - Armadilha,Armadilha,28/12/2022,ARM 290800/22
Chapecó,CUNHA PORÃ,Residência,ARM - Armadilha,Armadilha,28/12/2022,ARM 290799/22
Chapecó,CUNHA PORÃ,Comércio,ARM - Armadilha,Armadilha,28/12/2022,ARM 290798/22
Chapecó,CUNHA PORÃ,Residência,ARM - Armadilha,Armadilha,28/12/2022,ARM 290797/22
Blumenau,INDAIAL,Residência,ARM - Armadilha,Armadilha,30/12/2022,ARM 290795/22
Concórdia,IPIRA,Residência,ARM - Armadilha,Armadilha,28/12/2022,ARM 290794/22
Concórdia,IPIRA,Residência,ARM - Armadilha,Armadilha,28/12/2022,ARM 290793/22
Jaraguá do Sul,GUARAMIRIM,Comércio,ARM - Armadilha,Armadilha,21/12/2022,ARM 290788/22
Jaraguá do Sul,GUARAMIRIM,Residência,ARM - Armadilha,Armadilha,21/12/2022,ARM 290787/22
Jaraguá do Sul,GUARAMIRIM,Residência,ARM - Armadilha,Armadilha,21/12/2022,ARM 290786/22
Jaraguá do Sul,GUARAMIRIM,Comércio,ARM - Armadilha,Armadilha,21/12/2022,ARM 290785/22
Jaraguá do Sul,GUARAMIRIM,Comércio,ARM - Armadilha,Armadilha,21/12/2022,ARM 290784/22
São José,FLORIANÓPOLIS,Residência,B - Pequenos depósitos móveis,Investigação de Denúncia,23/12/2022,ID 290783/22
São José,FLORIANÓPOLIS,Residência,B - Pequenos depósitos móveis,Investigação de Denúncia,23/12/2022,ID 290782/22
São José,FLORIANÓPOLIS,Comércio,B - Pequenos depósitos móveis,Investigação de Denúncia,23/12/2022,ID 290781/22
São José,SÃO JOSÉ,Residência,E - Depósitos naturais,Levantamento de Indice + Tratamento,28/12/2022,LI+T 290780/22
São José,FLORIANÓPOLIS,Residência,B - Pequenos depósitos móveis,Investigação de Denúncia,23/12/2022,ID 290779/22
Blumenau,INDAIAL,Comércio,ARM - Armadilha,Armadilha,30/12/2022,ARM 290778/22
Blumenau,INDAIAL,Comércio,ARM - Armadilha,Armadilha,28/12/2022,ARM 290777/22
Jaraguá do Sul,GUARAMIRIM,Comércio,ARM - Armadilha,Armadilha,29/12/2022,ARM 290776/22
Blumenau,INDAIAL,Ponto Estratégico,D1 - Pneus e outros materiais rodantes,Revisão da Área,29/12/2022,RA 290775/22
Jaraguá do Sul,GUARAMIRIM,Residência,ARM - Armadilha,LIRAa,29/12/2022,L 290774/22
Blumenau,INDAIAL,Residência,ARM - Armadilha,Armadilha,29/12/2022,ARM 290773/22
Jaraguá do Sul,GUARAMIRIM,Comércio,ARM - Armadilha,Armadilha,28/12/2022,ARM 290772/22
Jaraguá do Sul,GUARAMIRIM,Comércio,ARM - Armadilha,Armadilha,28/12/2022,ARM 290771/22
Itajaí,PENHA,Outros,ARM - Armadilha,Armadilha,29/12/2022,ARM 290770/22
Itajaí,PENHA,Outros,ARM - Armadilha,Armadilha,29/12/2022,ARM 290769/22
Itajaí,PENHA,Residência,ARM - Armadilha,Armadilha,29/12/2022,ARM 290768/22
Itajaí,PENHA,Residência,ARM - Armadilha,Armadilha,29/12/2022,ARM 290767/22
Itajaí,PENHA,Comércio,ARM - Armadilha,Armadilha,29/12/2022,ARM 290766/22
Itajaí,PENHA,Residência,ARM - Armadilha,Armadilha,29/12/2022,ARM 290765/22
Itajaí,PENHA,Residência,ARM - Armadilha,Armadilha,29/12/2022,ARM 290764/22
Itajaí,PENHA,Comércio,ARM - Armadilha,Armadilha,29/12/2022,ARM 290763/22
Itajaí,PENHA,Comércio,ARM - Armadilha,Armadilha,29/12/2022,ARM 290762/22
Itajaí,PENHA,Comércio,ARM - Armadilha,Armadilha,29/12/2022,ARM 290761/22
Itajaí,PENHA,Outros,ARM - Armadilha,Armadilha,29/12/2022,ARM 290760/22
Itajaí,PENHA,Residência,ARM - Armadilha,Armadilha,30/12/2022,ARM 290759/22
Itajaí,PENHA,Comércio,ARM - Armadilha,Armadilha,30/12/2022,ARM 290758/22
Itajaí,PORTO BELO,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,26/12/2022,PE 290757/22
Itajaí,PENHA,Outros,ARM - Armadilha,Armadilha,30/12/2022,ARM 290756/22
Itajaí,PORTO BELO,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,26/12/2022,PE 290755/22
Itajaí,PENHA,Comércio,ARM - Armadilha,Armadilha,30/12/2022,ARM 290753/22
Itajaí,PORTO BELO,Ponto Estratégico,A1 - Caixa d'agua (elevado),Ponto Estratégico,26/12/2022,PE 290752/22
Itajaí,PENHA,Residência,ARM - Armadilha,Armadilha,30/12/2022,ARM 290751/22
Itajaí,PENHA,Residência,ARM - Armadilha,Armadilha,26/12/2022,ARM 290750/22
Itajaí,PENHA,Outros,ARM - Armadilha,Armadilha,26/12/2022,ARM 290749/22
Itajaí,PORTO BELO,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,29/12/2022,PE 290748/22
