Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,,,,,,,,,,
Período: de 01/08/2024 a 31/12/2024,,,,,,,,,,,,,,
Atualizado em 29/04/2025,,,,,,,,,,,,,,
Nº Foco,Regional,Município,Localidade,Imóvel,Depósito,Tipo de Atividade,Data da Coleta,Data de Entrada,Data do Exame,A. aegypti formas aquáticas,A. aegypti formas adultas,A. albopictus formas aquáticas,A. albopictus formas adultas,Ovo A. aegypti
ARM 436733/24,Concórdia,IPUMIRIM,CENTRO,Comércio,ARM - Armadilha,Armadilha,30/12/2024,02/01/2025,06/01/2025,7,0,0,0,0
ARM 436732/24,Xanxerê,XAXIM,GERMANICO,Comércio,ARM - Armadilha,Armadilha,16/12/2024,07/01/2025,07/01/2025,2,0,0,0,0
ARM 436731/24,Concórdia,IPUMIRIM,CENTRO,Outros,ARM - Armadilha,Armadilha,30/12/2024,02/01/2025,06/01/2025,2,0,0,0,0
ARM 436730/24,Concórdia,IPUMIRIM,CENTRO,Comércio,ARM - Armadilha,Armadilha,30/12/2024,02/01/2025,03/01/2025,4,0,0,0,0
ARM 436729/24,Concórdia,IPUMIRIM,CENTRO,Comércio,ARM - Armadilha,Armadilha,30/12/2024,02/01/2025,06/01/2025,5,0,0,0,0
ARM 436728/24,Xanxerê,XAXIM,ARI LUNARDI,Comércio,ARM - Armadilha,Armadilha,16/12/2024,07/01/2025,07/01/2025,13,0,0,0,0
ARM 436726/24,Concórdia,IPUMIRIM,CENTRO,Residência,ARM - Armadilha,Armadilha,30/12/2024,02/01/2025,06/01/2025,2,0,0,0,0
ARM 436725/24,Itajaí,ITAPEMA,MEIA PRAIA,Outros,ARM - Armadilha,Armadilha,30/12/2024,03/01/2025,03/01/2025,2,0,0,0,0
ARM 436724/24,Concórdia,PERITIBA,CENTRO,Residência,ARM - Armadilha,Armadilha,30/12/2024,02/01/2025,03/01/2025,10,0,0,0,0
ARM 436723/24,Xanxerê,XAXIM,BAIRRO FLOR,Comércio,ARM - Armadilha,Armadilha,16/12/2024,07/01/2025,07/01/2025,17,0,0,0,0
ARM 436722/24,Itajaí,ITAPEMA,MEIA PRAIA,Comércio,ARM - Armadilha,Armadilha,30/12/2024,03/01/2025,03/01/2025,2,0,0,0,0
ARM 436721/24,Concórdia,PERITIBA,CENTRO,Outros,ARM - Armadilha,Armadilha,30/12/2024,02/01/2025,03/01/2025,9,0,1,0,0
ARM 436719/24,Concórdia,PERITIBA,CENTRO,Residência,ARM - Armadilha,Armadilha,30/12/2024,02/01/2025,03/01/2025,4,0,0,0,0
ARM 436718/24,Itajaí,ITAPEMA,MEIA PRAIA,Comércio,ARM - Armadilha,Armadilha,30/12/2024,03/01/2025,03/01/2025,17,0,0,0,0
ARM 436717/24,Xanxerê,XAXIM,GUARANI,Comércio,ARM - Armadilha,Armadilha,17/12/2024,07/01/2025,07/01/2025,11,0,0,0,0
