Semana,Município,Casos
2024-04-28,ABDON BATISTA,0
2024-05-05,ABDON BATISTA,0
2024-05-12,ABDON BATISTA,0
2024-05-19,ABDON BATISTA,0
2024-05-26,ABDON BATISTA,0
2024-06-02,ABDON BATISTA,0
2024-06-09,ABDON BATISTA,0
2024-06-16,ABDON BATISTA,0
2024-06-23,ABDON BATISTA,0
2024-06-30,ABDON BATISTA,0
2024-07-07,ABDON BATISTA,0
2024-07-14,ABDON BATISTA,0
2024-07-21,ABDON BATISTA,0
2024-07-28,ABDON BATISTA,0
2024-08-04,ABDON BATISTA,0
2024-08-11,ABDON BATISTA,0
2024-08-18,ABDON BATISTA,0
2024-08-25,ABDON BATISTA,0
2024-09-01,ABDON BATISTA,0
2024-09-08,ABDON BATISTA,0
2024-09-15,ABDON BATISTA,0
2024-09-22,ABDON BATISTA,0
2024-09-29,ABDON BATISTA,0
2024-10-06,ABDON BATISTA,0
2024-10-13,ABDON BATISTA,0
2024-10-20,ABDON BATISTA,0
2024-10-27,ABDON BATISTA,0
2024-11-03,ABDON BATISTA,0
2024-11-10,ABDON BATISTA,0
2024-11-17,ABDON BATISTA,0
2024-11-24,ABDON BATISTA,0
2024-12-01,ABDON BATISTA,0
2024-12-08,ABDON BATISTA,0
2024-12-15,ABDON BATISTA,0
2024-12-22,ABDON BATISTA,0
2024-12-29,ABDON BATISTA,0
2025-01-05,ABDON BATISTA,0
2025-01-12,ABDON BATISTA,0
2025-01-19,ABDON BATISTA,0
2025-01-26,ABDON BATISTA,0
2025-02-02,ABDON BATISTA,0
2025-02-09,ABDON BATISTA,0
2025-02-16,ABDON BATISTA,0
2025-02-23,ABDON BATISTA,0
2025-03-02,ABDON BATISTA,0
2025-03-09,ABDON BATISTA,0
2025-03-16,ABDON BATISTA,0
2025-03-23,ABDON BATISTA,0
2025-03-30,ABDON BATISTA,0
2025-04-06,ABDON BATISTA,0
2025-04-13,ABDON BATISTA,0
2025-04-20,ABDON BATISTA,0
2025-04-27,ABDON BATISTA,0
2025-05-04,ABDON BATISTA,0
2025-05-11,ABDON BATISTA,0
2025-05-18,ABDON BATISTA,0
2025-05-25,ABDON BATISTA,0
2025-06-01,ABDON BATISTA,0
2025-06-08,ABDON BATISTA,0
2025-06-15,ABDON BATISTA,0
2025-06-22,ABDON BATISTA,0
2025-06-29,ABDON BATISTA,0
2025-07-06,ABDON BATISTA,0
2025-07-13,ABDON BATISTA,0
2025-07-20,ABDON BATISTA,0
2025-07-27,ABDON BATISTA,0
2025-08-03,ABDON BATISTA,0
2025-08-10,ABDON BATISTA,0
2025-08-17,ABDON BATISTA,0
2025-08-24,ABDON BATISTA,0
2025-08-31,ABDON BATISTA,0
2025-09-07,ABDON BATISTA,0
