Semana,casos,focos,tmin,tmed,tmax,prec
2016-11-06,0.0,1.0,19.43955339704241,22.652507781982425,26.45192664010184,18.25
2016-11-13,0.0,3.0,17.79590048108782,21.04293714250837,24.76125744410924,43.5
2016-11-20,0.0,4.0,17.624329021998815,20.99789592197963,24.89556966509138,4.5
2016-11-27,0.0,1.0,19.609728813171387,22.405006681169784,25.86852182660784,18.0625
2016-12-04,1.0,3.0,18.375309535435267,21.83217593601772,25.74261692592076,106.5625
2016-12-11,0.0,5.0,19.04912757873535,22.49152292524065,26.934410640171595,39.5
2016-12-18,0.0,2.0,21.79097584315709,24.5298628125872,28.894072668893,48.4375
2016-12-25,0.0,0.0,23.307735443115234,26.14567947387696,31.08150918143136,99.875
2017-01-01,0.0,1.0,23.161630358014783,26.20113754272461,30.898181642804825,35.375
2017-01-08,0.0,4.0,22.20611436026437,26.22925921848842,31.35965020315988,44.625
2017-01-15,0.0,11.0,22.49293463570731,26.345459256853378,30.29379735674177,4.6875
2017-01-22,0.0,4.0,21.07614244733538,24.196474892752512,28.873959950038365,61.0
2017-01-29,0.0,6.0,22.239505767822266,25.162351608276367,28.803856713431223,123.125
2017-02-05,0.0,9.0,22.61699431283133,25.66099575587681,29.42771802629744,3.4375
2017-02-12,0.0,12.0,23.91664777483259,26.83796283176967,30.74904033115932,57.75
2017-02-19,0.0,18.0,23.641338893345424,27.02021162850516,31.76141711643764,1.875
2017-02-26,0.0,7.0,23.359150750296457,26.64227431161063,31.837818690708705,27.6875
2017-03-05,0.0,12.0,22.963918958391464,25.48971039908273,29.553126743861608,84.625
2017-03-12,0.0,18.0,20.71974781581334,23.866493225097656,27.89673968723842,24.25
2017-03-19,0.0,12.0,19.31154932294573,22.260792595999582,26.372072764805385,41.25
2017-03-26,0.0,17.0,19.31228147234236,22.16072790963309,25.852399008614675,23.625
2017-04-02,0.0,15.0,20.279408591134207,22.430830546787806,25.562338965279714,60.8125
2017-04-09,0.0,9.0,19.90648024422782,23.057674952915736,27.38990947178432,38.625
2017-04-16,0.0,17.0,19.359012331281388,21.280346189226425,25.025264739990234,31.9375
2017-04-23,0.0,24.0,15.38817582811628,19.21257700238909,23.763471058436803,19.875
2017-04-30,0.0,18.0,16.661248888288224,20.235083171299525,24.727896554129465,7.0
2017-05-07,0.0,4.0,17.997629846845353,20.57541193280901,24.229486192975724,6.25
2017-05-14,0.0,4.0,16.26898561205183,19.515383311680385,23.27318845476423,83.375
2017-05-21,0.0,7.0,18.553100722176687,20.43952505929129,23.43288149152483,60.875
2017-05-28,0.0,3.0,16.367774418422155,18.53630174909319,21.41958100455148,130.875
2017-06-04,0.0,1.0,16.27928284236363,18.246108736310685,21.46144676208496,86.5
2017-06-11,0.0,7.0,12.621640750340053,16.963565008980886,22.976348331996373,0.625
2017-06-18,0.0,10.0,15.032961164202009,17.711972645350865,21.84463855198452,12.125
2017-06-25,0.0,14.0,15.602558953421456,18.935829980032786,23.93889372689384,1.0
2017-07-02,0.0,9.0,13.252058846609932,16.849992888314382,21.62264878409249,3.0
