Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,,,,,,,,,
Período: de 01/09/2023 a 30/09/2023,,,,,,,,,,,,,
Atualizado em 27/03/2024,,,,,,,,,,,,,
Nº Foco,Regional,Município,Imóvel,Depósito,Tipo de Atividade,Data da Coleta,Data de Entrada,Data do Exame,A. aegypti formas aquáticas,A. aegypti formas adultas,A. albopictus formas aquáticas,A. albopictus formas adultas,Ovo A. aegypti
ARM 349214/23,Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,29/09/2023,29/09/2023,29/09/2023,18,0,0,0,0
ARM 349213/23,Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,29/09/2023,29/09/2023,29/09/2023,18,0,0,0,0
ARM 349212/23,Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,29/09/2023,29/09/2023,29/09/2023,4,0,0,0,0
ARM 349211/23,Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,29/09/2023,29/09/2023,29/09/2023,3,0,0,0,0
ARM 349209/23,Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,29/09/2023,29/09/2023,29/09/2023,3,0,0,0,0
ARM 349207/23,Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,29/09/2023,29/09/2023,29/09/2023,2,0,0,0,0
ARM 349205/23,Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,29/09/2023,29/09/2023,29/09/2023,12,0,0,0,0
ARM 349203/23,Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,29/09/2023,29/09/2023,29/09/2023,6,0,0,0,0
ARM 349200/23,Joinville,JOINVILLE,Outros,ARM - Armadilha,Armadilha,29/09/2023,29/09/2023,29/09/2023,4,0,0,0,0
ARM 349199/23,Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,29/09/2023,29/09/2023,29/09/2023,1,0,0,0,0
ARM 349197/23,Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,29/09/2023,29/09/2023,29/09/2023,1,0,0,0,0
ARM 349195/23,Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,29/09/2023,29/09/2023,29/09/2023,22,0,0,0,0
ARM 349193/23,Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,29/09/2023,29/09/2023,29/09/2023,18,0,0,0,0
ARM 349191/23,Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,29/09/2023,29/09/2023,29/09/2023,1,0,0,0,0
ID 349179/23,São José,FLORIANÓPOLIS,Residência,B - Pequenos depósitos móveis,Investigação de Denúncia,29/09/2023,04/10/2023,04/10/2023,10,0,0,0,0
ARM 349156/23,Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,29/09/2023,29/09/2023,29/09/2023,10,0,0,0,0
ARM 349155/23,Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,29/09/2023,29/09/2023,29/09/2023,38,0,0,0,0
ARM 349154/23,Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,29/09/2023,29/09/2023,29/09/2023,47,0,0,0,0
ARM 349144/23,Jaraguá do Sul,BARRA VELHA,Comércio,ARM - Armadilha,Armadilha,29/09/2023,04/10/2023,04/10/2023,8,0,8,0,0
ARM 349141/23,Jaraguá do Sul,BARRA VELHA,Comércio,ARM - Armadilha,Armadilha,29/09/2023,04/10/2023,04/10/2023,16,0,0,0,0
ARM 349138/23,Jaraguá do Sul,BARRA VELHA,Comércio,ARM - Armadilha,Armadilha,29/09/2023,04/10/2023,04/10/2023,13,0,0,0,0
ARM 349133/23,Jaraguá do Sul,BARRA VELHA,Comércio,ARM - Armadilha,Armadilha,29/09/2023,04/10/2023,04/10/2023,56,0,0,0,0
ARM 349131/23,Jaraguá do Sul,BARRA VELHA,Outros,ARM - Armadilha,Armadilha,29/09/2023,04/10/2023,04/10/2023,5,0,0,0,0
ARM 349129/23,Jaraguá do Sul,BARRA VELHA,Comércio,ARM - Armadilha,Armadilha,29/09/2023,04/10/2023,04/10/2023,5,0,0,0,0
ARM 349127/23,Jaraguá do Sul,BARRA VELHA,Outros,ARM - Armadilha,Armadilha,29/09/2023,04/10/2023,04/10/2023,10,0,0,0,0
ARM 349125/23,Jaraguá do Sul,BARRA VELHA,Comércio,ARM - Armadilha,Armadilha,29/09/2023,04/10/2023,04/10/2023,12,0,0,0,0
ARM 349124/23,Jaraguá do Sul,BARRA VELHA,Outros,ARM - Armadilha,Armadilha,29/09/2023,04/10/2023,04/10/2023,71,0,0,0,0
ARM 349123/23,Jaraguá do Sul,BARRA VELHA,Comércio,ARM - Armadilha,Armadilha,29/09/2023,04/10/2023,04/10/2023,3,0,2,0,0
ARM 349122/23,Jaraguá do Sul,BARRA VELHA,Comércio,ARM - Armadilha,Armadilha,29/09/2023,04/10/2023,04/10/2023,1,0,0,0,0
ARM 349116/23,Itajaí,ITAPEMA,Outros,ARM - Armadilha,Armadilha,27/09/2023,29/09/2023,29/09/2023,51,0,0,0,0
ARM 349115/23,Itajaí,ITAPEMA,Residência,ARM - Armadilha,Armadilha,29/09/2023,29/09/2023,29/09/2023,14,0,0,0,0
ARM 349114/23,Itajaí,ITAPEMA,Comércio,ARM - Armadilha,Armadilha,28/09/2023,29/09/2023,29/09/2023,20,0,0,0,0
PE 349035/23,São Miguel do Oeste,MARAVILHA,Ponto Estratégico,D1 - Pneus e outros materiais rodantes,Ponto Estratégico,28/09/2023,02/10/2023,03/10/2023,5,0,0,0,0
ARM 349011/23,Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,28/09/2023,28/09/2023,29/09/2023,0,0,5,0,0
ARM 349010/23,Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,28/09/2023,28/09/2023,29/09/2023,52,0,0,0,0
ARM 349009/23,Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,28/09/2023,28/09/2023,29/09/2023,5,0,0,0,0
ARM 349007/23,Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,28/09/2023,28/09/2023,29/09/2023,14,0,0,0,0
ARM 349006/23,Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,28/09/2023,28/09/2023,29/09/2023,12,0,0,0,0
ARM 349005/23,Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,28/09/2023,28/09/2023,29/09/2023,6,0,0,0,0
ARM 349004/23,Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,28/09/2023,28/09/2023,29/09/2023,48,0,0,0,0
ARM 349003/23,Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,28/09/2023,28/09/2023,29/09/2023,45,0,0,0,0
ARM 349001/23,Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,28/09/2023,28/09/2023,29/09/2023,1,0,0,0,0
ARM 349000/23,Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,28/09/2023,28/09/2023,29/09/2023,4,0,0,0,0
