Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,,
Período: de 01/01/2019 a 31/12/2019,,,,,,
Atualizado em 26/05/2023,,,,,,
Regional,Município,Localidade,Imóvel,Depósito,Tipo de Atividade,Data da Coleta
Joinville,JOINVILLE,ITAUM,Comércio,ARM - Armadilha,Armadilha,11/12/2019
Joinville,JOINVILLE,ITAUM,Residência,ARM - Armadilha,Armadilha,11/12/2019
Joinville,JOINVILLE,ITAUM,Comércio,ARM - Armadilha,Armadilha,11/12/2019
Joinville,JOINVILLE,IRIRIÚ,Comércio,ARM - Armadilha,Armadilha,12/12/2019
Joinville,JOINVILLE,IRIRIÚ,Comércio,ARM - Armadilha,Armadilha,12/12/2019
Joinville,JOINVILLE,GUANABARA,Ponto Estratégico,ARM - Armadilha,Armadilha,12/12/2019
Joinville,JOINVILLE,GUANABARA,Residência,ARM - Armadilha,Armadilha,12/12/2019
Joinville,JOINVILLE,GUANABARA,Comércio,ARM - Armadilha,Armadilha,12/12/2019
Joinville,JOINVILLE, ESPINHEIROS,Comércio,ARM - Armadilha,Armadilha,12/12/2019
Joinville,JOINVILLE, ESPINHEIROS,Residência,ARM - Armadilha,Armadilha,12/12/2019
Joinville,JOINVILLE,COMASA,Residência,ARM - Armadilha,Armadilha,12/12/2019
Joinville,JOINVILLE,BOM RETIRO,Outros,ARM - Armadilha,Armadilha,12/12/2019
Joinville,JOINVILLE,BOM RETIRO,Comércio,ARM - Armadilha,Armadilha,12/12/2019
Joinville,JOINVILLE,ANITA GARIBALDI,Comércio,ARM - Armadilha,Armadilha,12/12/2019
Joinville,JOINVILLE,ANITA GARIBALDI,Comércio,ARM - Armadilha,Armadilha,12/12/2019
Joinville,JOINVILLE,JARIVATUBA,Residência,D1 - Pneus e outros materiais rodantes,Delimitação de Foco,11/12/2019
Joinville,JOINVILLE,JARIVATUBA,Residência,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Delimitação de Foco,11/12/2019
Joinville,JOINVILLE,JARDIM IRIRIU,Residência,C - Depósitos Fixos,Delimitação de Foco,11/12/2019
Joinville,JOINVILLE,JARDIM IRIRIU,Residência,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Delimitação de Foco,11/12/2019
Joinville,JOINVILLE,JARDIM IRIRIU,Residência,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Delimitação de Foco,06/12/2019
Joinville,JOINVILLE,BOEHMERWALD,Ponto Estratégico,D1 - Pneus e outros materiais rodantes,Ponto Estratégico,11/12/2019
Joinville,JOINVILLE,NOVA BRASILIA,Comércio,ARM - Armadilha,Armadilha,10/12/2019
Joinville,JOINVILLE,BUCAREIN,Comércio,ARM - Armadilha,Armadilha,11/12/2019
Joinville,JOINVILLE,BUCAREIN,Comércio,ARM - Armadilha,Armadilha,11/12/2019
Joinville,JOINVILLE,BUCAREIN,Comércio,ARM - Armadilha,Armadilha,11/12/2019
Joinville,JOINVILLE,AVENTUREIRO,Comércio,ARM - Armadilha,Armadilha,10/12/2019
Joinville,JOINVILLE,AVENTUREIRO,Comércio,ARM - Armadilha,Armadilha,10/12/2019
Joinville,JOINVILLE,JOÃO COSTA,Comércio,A2 - Outros depósitos de armazenamento de água,Pesquisa Vetorial Especial,13/12/2019
Joinville,JOINVILLE,JOÃO COSTA,Residência,  - Mosquito Adulto,Pesquisa Vetorial Especial,13/12/2019
Joinville,JOINVILLE,JOÃO COSTA,Residência,B - Pequenos depósitos móveis,Pesquisa Vetorial Especial,13/12/2019
Joinville,JOINVILLE,ITAUM,Outros,D1 - Pneus e outros materiais rodantes,Investigação de Denúncia,12/12/2019
Joinville,JOINVILLE,JARDIM IRIRIU,Residência,D1 - Pneus e outros materiais rodantes,Delimitação de Foco,06/12/2019
Joinville,JOINVILLE,JARIVATUBA,Residência,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Delimitação de Foco,10/12/2019
Joinville,JOINVILLE,JARIVATUBA,Residência,D1 - Pneus e outros materiais rodantes,Delimitação de Foco,10/12/2019
Joinville,JOINVILLE,JARIVATUBA,Residência,D1 - Pneus e outros materiais rodantes,Delimitação de Foco,10/12/2019
Joinville,JOINVILLE,ZONA INDUSTRIAL - TUPY,Comércio,ARM - Armadilha,Armadilha,10/12/2019
Joinville,JOINVILLE,ZONA INDUSTRIAL - TUPY,Comércio,ARM - Armadilha,Armadilha,10/12/2019
Joinville,JOINVILLE,ZONA INDUSTRIAL - TUPY,Comércio,ARM - Armadilha,Armadilha,10/12/2019
Joinville,JOINVILLE,GLORIA,Comércio,ARM - Armadilha,Armadilha,10/12/2019
Joinville,JOINVILLE,BUCAREIN,Outros,ARM - Armadilha,Armadilha,10/12/2019
Joinville,JOINVILLE,BUCAREIN,Outros,ARM - Armadilha,Armadilha,10/12/2019
Joinville,JOINVILLE,BUCAREIN,Residência,ARM - Armadilha,Armadilha,10/12/2019
Joinville,JOINVILLE,BUCAREIN,Comércio,ARM - Armadilha,Armadilha,10/12/2019
Joinville,JOINVILLE,BUCAREIN,Residência,ARM - Armadilha,Armadilha,10/12/2019
Joinville,JOINVILLE,BUCAREIN,Comércio,ARM - Armadilha,Armadilha,10/12/2019
Joinville,JOINVILLE,BUCAREIN,Comércio,ARM - Armadilha,Armadilha,10/12/2019
Joinville,JOINVILLE,JARDIM SOFIA,Comércio,ARM - Armadilha,Armadilha,10/12/2019
Joinville,JOINVILLE,FLORESTA,Residência,ARM - Armadilha,Armadilha,10/12/2019
Joinville,JOINVILLE,FLORESTA,Residência,ARM - Armadilha,Armadilha,10/12/2019
Joinville,JOINVILLE,FLORESTA,Comércio,ARM - Armadilha,Armadilha,10/12/2019
Joinville,JOINVILLE,JARDIM IRIRIU,Residência,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Delimitação de Foco,09/12/2019
Joinville,JOINVILLE,JARDIM IRIRIU,Residência,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Delimitação de Foco,09/12/2019
Joinville,JOINVILLE,JARDIM IRIRIU,Residência,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Delimitação de Foco,09/12/2019
Joinville,JOINVILLE,SAGUACU,Comércio,ARM - Armadilha,Armadilha,10/12/2019
Joinville,JOINVILLE, PROFIPO,Residência,ARM - Armadilha,Armadilha,09/12/2019
Joinville,JOINVILLE,PETRÓPOLIS,Comércio,ARM - Armadilha,Armadilha,09/12/2019
