Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,,,,,,,,,
Período: de 01/07/2023 a 31/07/2023,,,,,,,,,,,,,
Atualizado em 27/03/2024,,,,,,,,,,,,,
Nº Foco,Regional,Município,Imóvel,Depósito,Tipo de Atividade,Data da Coleta,Data de Entrada,Data do Exame,A. aegypti formas aquáticas,A. aegypti formas adultas,A. albopictus formas aquáticas,A. albopictus formas adultas,Ovo A. aegypti
ARM 342478/23,Joaçaba,CATANDUVAS,Comércio,ARM - Armadilha,Armadilha,31/07/2023,03/08/2023,03/08/2023,4,0,0,0,0
ARM 342477/23,Joaçaba,CATANDUVAS,Residência,ARM - Armadilha,Armadilha,31/07/2023,03/08/2023,03/08/2023,3,0,0,0,0
ARM 342469/23,Chapecó,RIQUEZA,Residência,ARM - Armadilha,Armadilha,31/07/2023,03/08/2023,03/08/2023,3,0,0,0,0
ARM 342468/23,Chapecó,RIQUEZA,Residência,ARM - Armadilha,Armadilha,31/07/2023,03/08/2023,03/08/2023,2,0,0,0,0
ARM 342458/23,Itajaí,BALNEÁRIO CAMBORIÚ,Comércio,ARM - Armadilha,Armadilha,31/07/2023,01/08/2023,01/08/2023,3,0,0,0,0
ARM 342450/23,Itajaí,BALNEÁRIO CAMBORIÚ,Comércio,ARM - Armadilha,Armadilha,31/07/2023,01/08/2023,01/08/2023,1,0,0,0,0
ARM 342448/23,Itajaí,BALNEÁRIO CAMBORIÚ,Comércio,ARM - Armadilha,Armadilha,31/07/2023,01/08/2023,01/08/2023,2,0,0,0,0
ARM 342408/23,Videira,CAÇADOR,Comércio,ARM - Armadilha,Armadilha,31/07/2023,03/08/2023,03/08/2023,3,0,0,0,0
ARM 342403/23,Joaçaba,HERVAL D`OESTE,Residência,ARM - Armadilha,Armadilha,31/07/2023,31/07/2023,03/08/2023,1,0,0,0,0
ARM 342402/23,Joaçaba,HERVAL D`OESTE,Residência,ARM - Armadilha,Armadilha,31/07/2023,31/07/2023,03/08/2023,2,0,0,0,0
ARM 342392/23,Jaraguá do Sul,BARRA VELHA,Outros,ARM - Armadilha,Armadilha,31/07/2023,03/08/2023,03/08/2023,1,0,0,0,0
ARM 342391/23,Jaraguá do Sul,BARRA VELHA,Comércio,ARM - Armadilha,Armadilha,31/07/2023,03/08/2023,03/08/2023,7,0,0,0,0
ARM 342390/23,Jaraguá do Sul,BARRA VELHA,Outros,ARM - Armadilha,Armadilha,31/07/2023,03/08/2023,03/08/2023,10,0,0,0,0
PE 342389/23,Itajaí,BALNEÁRIO PIÇARRAS,Ponto Estratégico,A2 - Outros depósitos de armazenamento de água,Ponto Estratégico,31/07/2023,31/07/2023,31/07/2023,10,0,0,0,0
ARM 342385/23,Itajaí,BALNEÁRIO PIÇARRAS,Outros,ARM - Armadilha,Armadilha,31/07/2023,31/07/2023,31/07/2023,2,0,0,0,0
ARM 342384/23,Jaraguá do Sul,BARRA VELHA,Comércio,ARM - Armadilha,Armadilha,31/07/2023,03/08/2023,03/08/2023,3,0,0,0,0
ARM 342383/23,Itajaí,BALNEÁRIO PIÇARRAS,Residência,ARM - Armadilha,Armadilha,31/07/2023,01/08/2023,01/08/2023,1,0,0,0,0
ARM 342382/23,Itajaí,BALNEÁRIO PIÇARRAS,Comércio,ARM - Armadilha,Armadilha,31/07/2023,31/07/2023,31/07/2023,2,0,0,0,0
ARM 342381/23,Araranguá,BALNEÁRIO GAIVOTA,Comércio,ARM - Armadilha,Armadilha,31/07/2023,01/08/2023,02/08/2023,1,0,0,0,0
