Semana,Município,Focos,latitude,longitude
2012-05-13,CONCÓRDIA,1,-27.23912654780915,-52.00738181173657
2012-05-13,FLORIANÓPOLIS,6,-27.577833913876493,-48.50819805014117
2012-05-13,GAROPABA,3,-28.046733934256846,-48.65893578099145
2012-05-13,GUARAMIRIM,1,-26.47655093499799,-48.94488242157447
2012-05-13,JOINVILLE,1,-26.244282225607027,-48.95140521079262
2012-05-13,PINHALZINHO,1,-26.829373480377633,-52.97663206995043
2012-05-13,SÃO JOSÉ,1,-27.57847109713233,-48.65625577254402
2012-05-13,SÃO JOSÉ DO CEDRO,1,-26.48085134039229,-53.53373642407425
2012-05-20,BLUMENAU,4,-26.885766673711007,-49.09730924738388
2012-05-20,CHAPECÓ,5,-27.125143757264095,-52.6503387011512
2012-05-20,CONCÓRDIA,2,-27.23912654780915,-52.00738181173657
2012-05-20,FLORIANÓPOLIS,8,-27.577833913876493,-48.50819805014117
2012-05-20,GAROPABA,3,-28.046733934256846,-48.65893578099145
2012-05-20,JOINVILLE,2,-26.244282225607027,-48.95140521079262
2012-05-20,PORTO BELO,1,-27.174795882021932,-48.61643450369326
2012-05-20,SÃO BENTO DO SUL,1,-26.294901587995746,-49.34998168331938
2012-05-20,SÃO MIGUEL DO OESTE,3,-26.727236944731406,-53.51212123092325
2012-05-27,BLUMENAU,1,-26.885766673711007,-49.09730924738388
2012-05-27,BOMBINHAS,1,-27.17325633187103,-48.51748707787348
2012-05-27,CHAPECÓ,11,-27.125143757264095,-52.6503387011512
2012-05-27,FLORIANÓPOLIS,1,-27.577833913876493,-48.50819805014117
2012-05-27,GASPAR,1,-26.931342854989225,-48.96603277755912
2012-05-27,TIJUCAS,3,-27.247563296595885,-48.70088637061579
2012-05-27,XANXERÊ,2,-26.87227935615384,-52.409753977893864
2012-06-03,BLUMENAU,2,-26.885766673711007,-49.09730924738388
2012-06-03,CHAPECÓ,1,-27.125143757264095,-52.6503387011512
2012-06-03,JAGUARUNA,1,-28.657895860293902,-49.04474831889522
2012-06-03,SÃO MIGUEL DO OESTE,1,-26.727236944731406,-53.51212123092325
2012-06-03,TIJUCAS,4,-27.247563296595885,-48.70088637061579
2012-06-03,XAXIM,1,-26.97030880074372,-52.52910542362624
2012-06-10,ITAPIRANGA,1,-27.112222405376688,-53.711674144548695
2012-06-10,JARAGUÁ DO SUL,2,-26.481907693524388,-49.159974339900636
2012-06-10,JOINVILLE,1,-26.244282225607027,-48.95140521079262
2012-06-10,PINHALZINHO,1,-26.829373480377633,-52.97663206995043
2012-06-10,TIJUCAS,1,-27.247563296595885,-48.70088637061579
2012-06-17,BLUMENAU,1,-26.885766673711007,-49.09730924738388
2012-06-17,BOMBINHAS,2,-27.17325633187103,-48.51748707787348
2012-06-17,CHAPECÓ,1,-27.125143757264095,-52.6503387011512
2012-06-17,SÃO MIGUEL DO OESTE,1,-26.727236944731406,-53.51212123092325
2012-06-17,XANXERÊ,1,-26.87227935615384,-52.409753977893864
2012-06-24,BIGUAÇU,1,-27.433529852830816,-48.69394689806006
2012-06-24,BLUMENAU,1,-26.885766673711007,-49.09730924738388
2012-06-24,CHAPECÓ,3,-27.125143757264095,-52.6503387011512
2012-07-01,ARARANGUÁ,1,-28.9422934098757,-49.47117420910179
2012-07-01,CHAPECÓ,3,-27.125143757264095,-52.6503387011512
2012-07-01,GUARAMIRIM,2,-26.47655093499799,-48.94488242157447
2012-07-01,JOINVILLE,6,-26.244282225607027,-48.95140521079262
2012-07-01,PAULO LOPES,1,-27.96485520622319,-48.76016335634399
2012-07-01,SÃO JOÃO DO OESTE,1,-27.091607129863164,-53.59166414663414
2012-07-01,SÃO MIGUEL DO OESTE,1,-26.727236944731406,-53.51212123092325
2012-07-08,CHAPECÓ,2,-27.125143757264095,-52.6503387011512
2012-07-08,INDAIAL,1,-26.99497938110411,-49.224177687901346
2012-07-08,JARAGUÁ DO SUL,1,-26.481907693524388,-49.159974339900636
2012-07-08,JOINVILLE,2,-26.244282225607027,-48.95140521079262
2012-07-15,SÃO LOURENÇO DO OESTE,1,-26.465488220200026,-52.859772864625924
2012-07-22,JARAGUÁ DO SUL,1,-26.481907693524388,-49.159974339900636
2012-08-05,BOMBINHAS,1,-27.17325633187103,-48.51748707787348
2012-08-05,CHAPECÓ,1,-27.125143757264095,-52.6503387011512
2012-08-05,FLORIANÓPOLIS,1,-27.577833913876493,-48.50819805014117
2012-08-05,JARAGUÁ DO SUL,3,-26.481907693524388,-49.159974339900636
2012-08-05,JOINVILLE,1,-26.244282225607027,-48.95140521079262
2012-08-12,CAMPO ALEGRE,1,-26.120556487743215,-49.21753924216807
2012-08-12,JOINVILLE,1,-26.244282225607027,-48.95140521079262
2012-08-19,CHAPECÓ,8,-27.125143757264095,-52.6503387011512
2012-08-19,CONCÓRDIA,1,-27.23912654780915,-52.00738181173657
2012-08-19,MASSARANDUBA,1,-26.626911300757143,-48.98819178964745
2012-08-26,CHAPECÓ,3,-27.125143757264095,-52.6503387011512
2012-09-02,CHAPECÓ,1,-27.125143757264095,-52.6503387011512
2012-09-02,JOINVILLE,1,-26.244282225607027,-48.95140521079262
2012-09-09,CHAPECÓ,4,-27.125143757264095,-52.6503387011512
2012-09-09,JOINVILLE,1,-26.244282225607027,-48.95140521079262
2012-09-16,BLUMENAU,3,-26.885766673711007,-49.09730924738388
2012-09-16,BRAÇO DO NORTE,1,-28.240945450971008,-49.14236463397278
2012-09-16,CHAPECÓ,5,-27.125143757264095,-52.6503387011512
2012-09-16,SÃO MIGUEL DO OESTE,2,-26.727236944731406,-53.51212123092325
2012-09-23,BLUMENAU,2,-26.885766673711007,-49.09730924738388
2012-09-23,CHAPECÓ,5,-27.125143757264095,-52.6503387011512
2012-09-23,FLORIANÓPOLIS,1,-27.577833913876493,-48.50819805014117
2012-09-30,JOINVILLE,1,-26.244282225607027,-48.95140521079262
2012-10-07,CHAPECÓ,2,-27.125143757264095,-52.6503387011512
2012-10-07,FLORIANÓPOLIS,1,-27.577833913876493,-48.50819805014117
2012-10-14,CHAPECÓ,12,-27.125143757264095,-52.6503387011512
2012-10-14,JOINVILLE,1,-26.244282225607027,-48.95140521079262
2012-10-21,CHAPECÓ,4,-27.125143757264095,-52.6503387011512
2012-10-28,BLUMENAU,2,-26.885766673711007,-49.09730924738388
2012-10-28,CHAPECÓ,13,-27.125143757264095,-52.6503387011512
2012-10-28,SÃO MIGUEL DO OESTE,1,-26.727236944731406,-53.51212123092325
2012-11-04,ARARANGUÁ,1,-28.9422934098757,-49.47117420910179
2012-11-04,BALNEÁRIO CAMBORIÚ,1,-27.004736811989282,-48.62174059290786
2012-11-04,BLUMENAU,1,-26.885766673711007,-49.09730924738388
2012-11-04,CHAPECÓ,10,-27.125143757264095,-52.6503387011512
2012-11-04,NAVEGANTES,1,-26.82874286660231,-48.72739585880501
2012-11-04,SÃO JOÃO DO OESTE,1,-27.091607129863164,-53.59166414663414
2012-11-04,SÃO MIGUEL DO OESTE,1,-26.727236944731406,-53.51212123092325
2012-11-11,ARARANGUÁ,1,-28.9422934098757,-49.47117420910179
2012-11-11,BRUSQUE,1,-27.125000077860673,-48.90974338759385
2012-11-11,CHAPECÓ,23,-27.125143757264095,-52.6503387011512
2012-11-11,CRICIÚMA,1,-28.715695317599724,-49.379715593390806
2012-11-11,ITAPEMA,1,-27.10858334921313,-48.63442695278928
2012-11-11,JARAGUÁ DO SUL,1,-26.481907693524388,-49.159974339900636
2012-11-11,SÃO MIGUEL DO OESTE,1,-26.727236944731406,-53.51212123092325
2012-11-18,ARAQUARI,1,-26.461708089601323,-48.75777734611065
2012-11-18,CHAPECÓ,16,-27.125143757264095,-52.6503387011512
2012-11-18,COCAL DO SUL,1,-28.59869687778446,-49.3339303801786
2012-11-18,IMBITUBA,1,-28.19427352006288,-48.70266299449253
2012-11-18,JOINVILLE,5,-26.244282225607027,-48.95140521079262
2012-11-25,BALNEÁRIO CAMBORIÚ,1,-27.004736811989282,-48.62174059290786
2012-11-25,BLUMENAU,1,-26.885766673711007,-49.09730924738388
2012-11-25,BOMBINHAS,1,-27.17325633187103,-48.51748707787348
2012-11-25,CHAPECÓ,35,-27.125143757264095,-52.6503387011512
2012-11-25,COCAL DO SUL,1,-28.59869687778446,-49.3339303801786
2012-11-25,CONCÓRDIA,1,-27.23912654780915,-52.00738181173657
2012-11-25,JOINVILLE,2,-26.244282225607027,-48.95140521079262
2012-11-25,PINHALZINHO,1,-26.829373480377633,-52.97663206995043
2012-11-25,SÃO MIGUEL DO OESTE,3,-26.727236944731406,-53.51212123092325
2012-12-02,BALNEÁRIO CAMBORIÚ,2,-27.004736811989282,-48.62174059290786
2012-12-02,CHAPECÓ,35,-27.125143757264095,-52.6503387011512
2012-12-02,COCAL DO SUL,2,-28.59869687778446,-49.3339303801786
2012-12-02,CONCÓRDIA,1,-27.23912654780915,-52.00738181173657
2012-12-02,GARUVA,1,-26.05711167861282,-48.86732766109188
2012-12-02,JOINVILLE,1,-26.244282225607027,-48.95140521079262
2012-12-02,TIJUCAS,1,-27.247563296595885,-48.70088637061579
2012-12-02,TUBARÃO,1,-28.48158146246524,-49.03724862155106
2012-12-09,BALNEÁRIO CAMBORIÚ,1,-27.004736811989282,-48.62174059290786
2012-12-09,BLUMENAU,3,-26.885766673711007,-49.09730924738388
2012-12-09,CHAPECÓ,38,-27.125143757264095,-52.6503387011512
2012-12-09,CRICIÚMA,1,-28.715695317599724,-49.379715593390806
2012-12-09,ITAPEMA,1,-27.10858334921313,-48.63442695278928
2012-12-09,JOINVILLE,4,-26.244282225607027,-48.95140521079262
2012-12-09,PINHALZINHO,3,-26.829373480377633,-52.97663206995043
2012-12-09,POMERODE,2,-26.728186239159662,-49.17330417894716
2012-12-09,TIJUCAS,1,-27.247563296595885,-48.70088637061579
2012-12-16,BALNEÁRIO CAMBORIÚ,1,-27.004736811989282,-48.62174059290786
2012-12-16,CHAPECÓ,44,-27.125143757264095,-52.6503387011512
2012-12-16,CRICIÚMA,1,-28.715695317599724,-49.379715593390806
