Semana,SE,ALTO URUGUAI CATARINENSE,ALTO VALE DO ITAJAÍ,ALTO VALE DO RIO DO PEIXE,CARBONÍFERA,EXTREMO OESTE,EXTREMO SUL CATARINENSE,FOZ DO RIO ITAJAÍ,GRANDE FLORIANÓPOLIS,LAGUNA,MEIO OESTE,MÉDIO VALE DO ITAJAÍ,NORDESTE,OESTE,PLANALTO NORTE,SERRA CATARINENSE,VALE DO ITAPOCU,XANXERÊ
2001-08-12,33,0.0,0.023809524,0.0015625,0.0,0.6119792,0.0,0.50961536,0.46557972,0.0,0.0,0.027777778,0.665,0.35069445,0.0,0.014900662,0.09558824,0.0
2001-08-19,34,11.034483,12.222222,10.6375,25.738636,8.338542,25.87037,12.394231,16.085144,35.70139,16.285156,14.441667,15.015,8.069445,3.844415,24.934603,9.507353,14.485577
2001-08-26,35,29.89224,39.761906,37.025,14.164773,49.23698,16.203703,29.173077,36.175724,21.79514,28.529297,42.841667,32.19,38.805557,60.119682,33.971855,32.661766,42.122597
2001-09-02,36,6.9827585,25.043652,18.228125,28.426136,4.859375,11.023149,5.2115383,19.282608,39.42014,6.390625,22.658333,5.99,5.84375,11.231383,11.434603,10.286765,1.875
2001-09-09,37,17.926723,36.76389,15.829687,34.789772,7.018229,13.763889,49.26923,35.894928,42.069443,14.863281,44.95,46.95,10.260417,15.570478,22.510761,53.507355,11.774038
2001-09-16,38,28.185345,2.577381,11.4921875,0.27272728,19.596354,0.055555556,5.1826925,7.164855,7.545139,8.886719,5.7611113,4.56,31.559029,6.200798,1.022351,5.3235292,27.350962
2001-09-23,39,65.69396,24.192461,41.475,20.443182,94.43229,30.814816,38.60577,27.539856,25.621529,47.160156,36.055557,29.025,98.22222,33.609043,32.014072,38.22059,68.71875
2001-09-30,40,37.935345,88.980156,79.16875,73.66477,36.765625,116.166664,107.125,119.625,99.25694,87.0293,115.397224,78.835,22.899305,60.164894,148.01656,84.05882,67.0024
2001-10-07,41,76.25,26.123016,49.157814,15.4375,74.90625,12.569445,47.471153,35.554348,19.95486,46.66992,36.425,44.84,77.295135,48.93085,17.01904,40.94853,80.55048
2001-10-14,42,29.478449,15.94246,37.178123,23.02841,10.848958,18.75926,34.375,25.827898,18.15625,51.416016,19.95,36.215,14.527778,33.400265,38.15894,32.14706,16.865385
2001-10-21,43,2.25,1.0813493,1.4375,0.13636364,0.5416667,0.28703704,13.365385,1.6376811,0.114583336,4.4960938,3.3888888,6.14,0.6284722,2.581117,3.2855961,4.132353,1.3822116
2001-10-28,44,2.0517242,0.31150794,0.440625,0.17045455,5.6015625,1.3101852,0.3846154,0.21376811,0.30208334,3.7050781,0.325,2.495,2.2743056,2.2340426,0.92384106,2.1029413,0.44471154
2001-11-04,45,34.478447,14.134921,27.004688,6.3522725,20.335938,13.25,19.192308,18.496376,9.090278,24.767578,23.277779,15.1,18.73264,17.55186,12.786424,15.595589,27.134615
2001-11-11,46,8.043103,12.269841,20.40625,1.3295455,23.229166,0.35185185,3.75,3.4945652,3.7256944,15.59375,9.655556,34.89,12.451389,18.109043,7.9486756,21.17647,12.490385
2001-11-18,47,0.9741379,7.1170635,13.33125,7.4204545,1.7213541,7.023148,5.4134617,6.865942,4.7395835,9.230469,10.844444,8.68,0.59375,4.820479,12.761589,9.235294,0.8581731
2001-11-25,48,50.306034,47.238094,60.064064,65.52273,32.841145,86.361115,35.490383,66.98732,79.44444,44.498047,40.094444,43.765,43.104168,55.86835,68.5596,39.47059,60.076923
2001-12-02,49,25.280172,27.46627,20.68125,9.857955,32.60677,11.583333,23.221153,22.869566,12.322917,26.892578,34.394444,15.3,28.965279,28.075798,29.068708,27.536764,23.05048
2001-12-09,50,20.474138,19.237103,21.159374,22.25,18.414062,17.270834,22.399038,20.78895,14.25,32.04492,19.70139,13.9325,25.288195,23.280584,48.36051,9.845589,24.4375
2001-12-16,51,1.1508621,16.174603,2.9546876,4.6136365,4.4166665,3.375,21.788462,12.817029,4.9479165,1.8007812,11.313889,5.845,1.1284722,7.5851064,4.393212,12.25,3.0096154
2001-12-23,52,4.6853447,0.74206346,5.703125,4.284091,0.9791667,0.2777778,4.8653846,6.6358695,5.9270835,2.7929688,4.263889,8.975,2.8958333,2.0452127,1.803808,9.419118,7.7403846
2001-12-30,1,10.49138,18.279762,11.620313,25.227272,2.2083333,26.796297,48.846153,39.84058,28.128471,14.464844,35.044445,36.115,0.9722222,12.56782,17.403973,20.742647,5.641827
2002-01-06,2,23.137932,39.414684,46.198437,24.198864,12.203125,17.314816,50.134617,53.699276,41.961807,47.447266,76.005554,77.83,11.243055,23.62633,28.940397,61.35294,12.533654
2002-01-13,3,5.9051723,11.228174,12.260938,36.4375,0.36458334,27.671297,18.192308,34.403984,50.06597,4.908203,14.938889,18.43,0.21527778,18.99468,15.158113,20.316177,3.2860577
2002-01-20,4,8.963362,51.208332,28.229687,49.16193,28.005209,61.150463,26.26923,29.867754,34.586807,30.485352,40.708332,53.135,14.694445,39.912235,47.06664,40.308823,18.427885
2002-01-27,5,24.1875,13.100199,25.739063,8.1875,50.20573,15.19213,10.586538,7.485507,6.0815973,25.169922,9.625,12.1425,41.760418,12.87766,13.975579,10.172794,31.983173
2002-02-03,6,9.504311,20.468254,22.489063,33.301136,5.684896,14.986111,59.46154,37.182972,32.21528,13.203125,26.622223,28.025,8.506945,18.174202,20.399834,34.14706,8.019231
2002-02-10,7,21.909483,36.599205,28.035938,54.960228,16.533854,40.430557,15.288462,22.708334,32.697918,26.548828,19.841667,21.685,15.5625,22.695478,31.415564,18.536764,24.677885
2002-02-17,8,4.5215516,12.049603,5.9289064,16.21875,4.2721353,7.3958335,18.096153,14.621377,16.095486,6.4257812,12.652778,67.88,2.1527777,23.144947,12.442467,20.367647,4.704327
2002-02-24,9,17.00431,14.319445,43.24531,31.960228,0.6979167,10.296296,4.5,6.0199275,23.166666,35.376953,17.461111,8.645,8.201389,18.44149,8.594371,10.323529,7.699519
2002-03-03,10,28.50431,20.876984,10.485937,32.647728,29.361979,23.671297,38.134617,42.074276,26.95139,13.230469,31.36389,31.685,30.729166,17.599733,19.960264,17.397058,20.444712
2002-03-10,11,14.620689,25.994047,23.439062,31.517046,29.346354,22.851852,41.471153,33.355072,24.51736,18.109375,39.469444,59.15,15.645833,17.752659,37.225166,33.764706,10.177885
2002-03-17,12,4.8663793,1.9345238,5.938281,8.471591,2.1666667,21.988426,3.1346154,3.9574275,3.4340277,8.4296875,6.197222,8.1275,3.0486112,2.0039895,6.433361,3.9632354,4.46875
2002-03-24,13,17.008621,3.420635,27.279688,10.903409,2.4375,15.12037,3.6923077,3.0199275,5.6493053,23.589844,5.1805553,9.39,0.47569445,9.87766,13.437914,3.389706,3.0841346
