SE,ALTO URUGUAI CATARINENSE,ALTO VALE DO ITAJAÍ,ALTO VALE DO RIO DO PEIXE,CARBONÍFERA,EXTREMO OESTE,EXTREMO SUL CATARINENSE,FOZ DO RIO ITAJAÍ,GRANDE FLORIANÓPOLIS,LAGUNA,MEIO OESTE,MÉDIO VALE DO ITAJAÍ,NORDESTE,OESTE,PLANALTO NORTE,SERRA CATARINENSE,VALE DO ITAPOCU,XANXERÊ
25,14.169210995486344,14.10941542749466,12.225630640264308,14.761855358438833,15.536010620108716,14.715810504383104,17.02388726937875,15.460350452968052,15.542195818951452,12.945268734700232,15.738144300733293,16.718619762893635,15.51000552991182,13.357865707463882,11.45178017524144,16.43103512377655,14.140150382987894
26,14.006201929450802,13.985771385489752,11.991581012096253,15.037956416280498,15.384161551099277,15.02987308566021,17.012866689053638,15.586090311412068,15.751177212328829,12.74102457567865,15.68154967170154,16.6407069599275,15.349668530350025,13.119503395875359,11.458783263156167,16.372244383966855,13.917521444382372
27,14.06197158378984,13.738953036738359,11.876945877024422,14.78082022082238,15.55241775731878,14.68390065534388,16.61335066892663,15.24846570498479,15.49971342323811,12.775238856078536,15.301216398610698,16.27197395954492,15.472133263418574,12.917902678062099,11.356705004060967,16.00216185915027,13.917822104181562
28,13.309798155297337,13.202105565828555,11.33875597294602,14.110537227881807,14.444946673084065,13.961299940800268,16.11299887170597,14.698774881927688,14.790598393573687,12.08649979759523,14.861924605637917,15.990880654018845,14.54386375702486,12.504333687730584,10.653295418450528,15.61264902803529,13.188948042016788
29,12.720837420018023,12.790239858032544,10.848984914227936,13.64348884406544,13.913900551390066,13.524311038229609,15.629550100776962,14.13255240906059,14.30708811717024,11.565184707389506,14.395232715251641,15.391285103337784,13.92644251604338,12.024955134925797,10.189138518854728,15.107549359140565,12.571705388492651
30,14.12074879674531,13.605345950784967,11.896976087078544,14.647300324723833,15.389857256287208,14.556619061822289,16.353087658673612,14.864850589667975,15.203307793844935,12.798480932017949,15.202847592605655,16.074397555631446,15.361355151200387,12.871008138600008,11.344020921883597,15.859090959787837,13.930004847875502
31,14.509772856355173,13.89925451482537,12.211200141462479,14.880590766469638,15.93161574831722,14.71963773394797,16.562376742015427,15.059837884432309,15.401954742607073,13.138764669468756,15.446137847669197,16.25505959701024,15.90298130237918,13.14734085634003,11.598628289783985,16.064677623741314,14.285360419955857
32,14.895589373820535,14.342076664397966,12.612616904215573,15.276638460542474,16.368783331362078,15.095168155390324,16.96967905684046,15.49087378508828,15.820979136720796,13.458053555558315,15.888141711016237,16.78145648598992,16.326062670711384,13.609010170878843,11.86689107057934,16.555956547992803,14.787420365643309
33,15.315773340198216,14.712633852419822,12.951545834177452,15.655416753788788,16.778249040302924,15.450165280743455,17.19755521768731,15.85111429679177,16.198427149983537,13.849757239209787,16.16997301355998,16.92688462200833,16.79624648375861,13.893975249125544,12.353348078425606,16.760761360720878,15.164534759566468
34,16.06947798790312,15.324166385771623,13.838599363494575,16.09222444087267,17.36484819298581,15.785942512902514,17.47612341666708,16.061517583059334,16.47854961423258,14.764365666982696,16.57142280117877,17.33102472703733,17.405685562148516,14.636330558914983,13.050020741881074,17.146719573481906,15.886563562112999
35,15.428413336347582,14.874093447311093,13.225718879500848,15.748971341706458,16.918851200099525,15.622545640839881,17.34352797182934,15.926322838483538,16.210676523617337,14.006399282894199,16.366700085726652,17.159939729711116,16.876923892249472,14.171747635659088,12.465026264496235,16.913890174634304,15.296009027585187
36,16.033361874755897,15.559542343184383,13.976267991087134,16.17271049297991,17.64988311486629,15.979438104322671,17.887533866949052,16.411288201220625,16.59922451437336,14.684312790445858,16.925657337816247,17.700719814660413,17.531151094583933,14.953124618654813,13.062039797929247,17.460233014847667,16.058476715306387
37,17.422367854419054,16.819885064930293,15.369555491529532,17.189160828618775,18.84496860803453,16.97253569353808,18.854495837931733,17.364074570891145,17.49770208110548,16.077233689365023,18.15466593076037,18.672376674359057,18.845110549613775,16.32611290931324,14.314028045890474,18.54559877653178,17.403807426347242
38,17.035523418392145,16.72585918119467,15.01599679169236,17.25802210197562,18.690067431776722,17.10074434032465,19.108002115255193,17.538413845309965,17.587463509901163,15.647238490884563,18.149640183585028,18.791806464953567,18.57684312481678,16.078410505899384,14.034096332822068,18.627056477690395,17.04046100192314
39,16.73079205963449,16.296648598703495,14.57448369243659,16.66352018946693,18.56570700135079,16.616376166840777,18.780323826981704,17.143966809309923,17.17630436977528,15.275466140772817,17.791322113136193,18.34769610572054,18.414814565669616,15.608017095257088,13.476706498581883,18.22052291257974,16.75715589320242
40,18.063686258912547,17.44506781494694,15.972965805388808,17.902084167003633,19.792253312563385,17.82555856766081,19.735245171371773,18.038639576523025,18.22439146389,16.642296266695244,18.778447914024454,19.483732218523873,19.692637160091326,16.952095721659568,14.725264490288845,19.297525268076917,18.0524293824219
41,18.50569810339536,18.092321483656796,16.487996094575898,18.654510823942367,20.039061620501922,18.494501253690192,20.312103558754433,18.673706175965147,18.895388467232543,17.141167519272244,19.404397160253485,20.006324193805376,20.03652334172753,17.4961308474252,15.360283648638633,19.86983961318104,18.387996437735957
42,19.013360513223187,18.332974358052333,16.772200558331548,18.944927110899062,20.702173556815602,18.73963884513197,20.53064126707027,18.954875990909727,19.200220811959582,17.545722329168672,19.624808524887282,20.24388362961638,20.621972192999937,17.672490020181336,15.655921780414623,20.05898249795992,18.890998213863114
43,19.29390415613869,18.770521012511587,17.13749980611725,19.48092276192847,20.75618932767765,19.292487209128595,21.160562358667136,19.529713765171596,19.708264876363796,17.849406778809726,20.206429075100722,20.79224362442757,20.817993196796724,18.14159029646263,16.043669972917137,20.634592379665186,19.073934710597733
44,19.63091952069846,19.22989398874962,17.53763788445819,19.732731476681572,20.98780288487342,19.532365645454046,21.56544593944494,19.834959439830037,20.02295507591531,18.26375609172611,20.63318914454737,21.10677016888025,21.05666933391085,18.481723614486256,16.436245669450166,20.998836866479564,19.355295022131617
45,19.585097186359814,18.8738480936998,17.282110519646118,19.50708738179434,21.20866713754695,19.3934646476834,21.29193496893168,19.645685279192243,19.784416716290078,18.063873031131326,20.305021789253534,20.789150921289487,21.24246760386758,18.185305037081452,16.059497798923353,20.670639601854894,19.338454969077098
46,19.967225299329524,19.650378119259248,17.859795623193722,20.294699262777964,21.377945446406887,20.080039227607166,22.06248781943808,20.380586608926354,20.560861549004184,18.561547571939613,21.09013068409709,21.630799197122414,21.493255177170155,18.95370948959067,16.730240782418615,21.50341432545283,19.678693759512065
47,20.846420232755644,20.32145984011164,18.703608720215847,20.81439848428681,22.197750759618888,20.62666569251965,22.593333560954726,20.889228817332878,21.0132116607024,19.488846235264543,21.63058724714667,22.025458156863316,22.325489178587567,19.544981154897346,17.581688995807035,21.97134637836374,20.46719762871529
48,21.245030900422517,20.6060195669284,19.012993540641155,21.155916084789098,22.729727622709124,20.977743452703017,22.949599213669668,21.2672570716957,21.385286966648586,19.810551334033534,22.010866999011018,22.414995175179126,22.865642736943073,19.86076528657129,17.893523710614314,22.343997715989204,20.871015512692637
49,21.1702935756158,21.013961894923945,19.362009551937643,21.350769239891143,22.606417617967267,21.122128115964518,23.275389246370633,21.750227566092352,21.63707132824713,19.965656623025044,22.491693872096736,22.66618234762927,22.652980825873414,20.25389448015691,18.256143732482165,22.65438359926825,20.82896786939102
50,21.701051705604662,21.332623431850344,19.63168941983525,21.86512417469706,23.29259966186026,21.646194273311657,23.53352206483179,22.10598433392017,22.065576884536593,20.34512377915956,22.755702001497344,22.977174223311184,23.33610410347869,20.444408569290648,18.653121038715803,22.937269971067426,21.34595883323176
51,21.907386069377573,21.763179874908186,20.03627328339571,22.35698062930788,23.363710512772567,22.210916276340168,24.11928696301519,22.65293957713734,22.566258403457077,20.668953694085033,23.238289977234682,23.636383490446764,23.442631592732138,20.863143839019063,19.105134073403107,23.47834495290618,21.478993427271472
52,21.933412838104914,21.89302178563848,20.113483743439126,22.303867555232273,23.47159660198175,22.233504705637728,24.323182320775512,22.69322869211172,22.59264026093156,20.7035489377128,23.404814241087283,23.72995217942806,23.500281546824684,20.94157362717152,19.144336904471995,23.626260335664693,21.546515372551355
53,21.28183531055426,21.606326992577834,19.63732008597654,21.859675326162858,22.774589371981225,21.740980433988142,24.138960246094463,22.62913785723897,22.437147781573632,20.108402867285015,23.174864318979765,23.71728091676923,22.783723275173585,20.70294737447898,18.58459236242202,23.507398163969036,21.069873594691487
